estrutura,n,adicionar,remover,aumentar,diminuir
Fila (LinkedList),2650,0.0017575519996171352,0.0016811460000099032,0.005176747999939835,0.002016516000367119
Fila (LinkedList),2700,0.0017672439998932532,0.000989572000435146,0.007090742999935173,0.002371368999774859
Fila (LinkedList),2750,0.0017912499997692066,0.0019329490005475236,0.006154180000521592,0.0019534980001481017
Fila (LinkedList),2800,0.001819752999836055,0.002278764000038791,0.006102002000261564,0.0026180999993812293
Fila (LinkedList),2850,0.003151935000460071,0.0022315999995043967,0.007703615999162139,0.0021382200002335594
Fila (LinkedList),2900,0.0019160990004820633,0.0011023099996236851,0.00519688300028065,0.0027711909997378825
Fila (LinkedList),2950,0.0024752569997872342,0.0014606679997086758,0.005917526000303042,0.0022828620003565447
Fila (LinkedList),3000,0.0031816259997867746,0.0017618649999349145,0.005676296999808983,0.0028193939997436246
Fila (LinkedList),3050,0.0030380099997273646,0.0011641289993349346,0.006537107000440301,0.0024931269999797223
Fila (LinkedList),3100,0.002104588000293006,0.0014303110001492314,0.005922695000663225,0.0021968299997752183
Fila (LinkedList),3150,0.0027043469999625813,0.0015780459998495644,0.005535383999813348,0.002255521999359189
Fila (LinkedList),3200,0.00210235700069461,0.0019840620007016696,0.07307829900037177,0.004008531000181392
Fila (LinkedList),3250,0.0028933889998370432,0.00172349199965538,0.00743620000048395,0.004604740000104357
Fila (LinkedList),3300,0.0024052899998423527,0.0015064510007505305,0.005981446999612672,0.0027800959996966412
Fila (LinkedList),3350,0.0022020460000931052,0.0017746089997672243,0.005027717999837478,0.002514573000553355
Fila (LinkedList),3400,0.0033669960002953303,0.0019770979997701943,0.006236513000658306,0.004769490999933623
Fila (LinkedList),3450,0.0028079960002287407,0.0013124540000717388,0.007735523000519606,0.0027341530003468506
Fila (LinkedList),3500,0.0025684420006655273,0.002630567000778683,0.07701827199980471,0.00405654600035632
Fila (LinkedList),3550,0.0029541630001403973,0.003125683999314788,0.01149738599997363,0.006096680000155175
Fila (LinkedList),3600,0.005684820999704243,0.003155023000545043,0.01230272300017532,0.006241119999685907
Fila (LinkedList),3650,0.005717742000342696,0.003886587000124564,0.012518835999799194,0.005807561999972677
Fila (LinkedList),3700,0.006322348000139755,0.0031451470003958093,0.006174182999529876,0.0033301470002697897
Fila (LinkedList),3750,0.003462580999439524,0.0017349479994663852,0.01390135800011194,0.007656773999769939
Fila (LinkedList),3800,0.06858780800030218,0.0018373370003246237,0.006561942000189447,0.00297172499995213
Fila (LinkedList),3850,0.0029234619996714173,0.0016336959997715894,0.006367993999447208,0.004194958999505616
Fila (LinkedList),3900,0.0028171899994049454,0.0017040650000126334,0.008085716000096,0.003757379000489891
Fila (LinkedList),3950,0.0026350099997216603,0.0023469269999623066,0.007002192000072682,0.0033402689996364643
Fila (LinkedList),4000,0.003442432000156259,0.0016859749994182494,0.07274785299978248,0.0038236999998844112
Fila (LinkedList),4050,0.003301693999674171,0.001993401000618178,0.0068381119999685325,0.003889594000611396
Fila (LinkedList),4100,0.004431070999999065,0.0014492169993900461,0.0095150150000336,0.0034536379998826305
Fila (LinkedList),4150,0.0031618709999747807,0.0032402339993495843,0.007121588000700285,0.005329125999196549
Fila (LinkedList),4200,0.0029310279996934696,0.0021991100002196617,0.008073771999988821,0.0038729620000594878
Fila (LinkedList),4250,0.003710004999447847,0.0016046689997892827,0.07672381800057337,0.003928932000235363
Fila (LinkedList),4300,0.003691714000524371,0.0022598360001211404,0.007270881000295049,0.005152018999979191
Fila (LinkedList),4350,0.0030768309998165932,0.0019522489992596093,0.008141995999721985,0.0035262830006104195
Fila (LinkedList),4400,0.004125927000131924,0.001660468999943987,0.01096349899944471,0.003567721000763413
Fila (LinkedList),4450,0.004060773000674089,0.0018385690000286559,0.007413663999614073,0.005656121999891184
Fila (LinkedList),4500,0.06811947000005603,0.0024377889994866564,0.007830833000298298,0.0041803539997999906
Fila (LinkedList),4550,0.0031224619997374248,0.0017003419998218305,0.008372495000003255,0.004490665000048466
Fila (LinkedList),4600,0.00310664300013741,0.0021768169999631937,0.007231493999825034,0.004759798999657505
Fila (LinkedList),4650,0.0034175789996879757,0.0017058809999070945,0.010027695000644599,0.004197983999802091
Fila (LinkedList),4700,0.0037721859998782747,0.002307610000571003,0.00880943400079559,0.003927173000192852
Fila (LinkedList),4750,0.0035884159997294773,0.0020934080002916744,0.0074727629998960765,0.004760009000165155
Fila (LinkedList),4800,0.0035388730002523516,0.0024988390005091787,0.0075512459998208215,0.004815084999790997
Fila (LinkedList),4850,0.003727338000317104,0.001871947999461554,0.008518146999449527,0.003671890999612515
Fila (LinkedList),4900,0.0037344519996622694,0.002435301999867079,0.009069037999324792,0.004035704000671103
Fila (LinkedList),4950,0.0037701850005760207,0.0019364189993211767,0.0073919540000133566,0.003853590999824519
Fila (LinkedList),5000,0.005241947000286018,0.0019805539996013977,0.011023846000171034,0.003758272999220935
