estrutura,n,adicionar,remover,aumentar,diminuir
Pilha (Array),2650,0.00046758300049987156,0.000920225000299979,4.260199966665823e-05,0.00011347899999236688
Pilha (Array),2700,0.0003482510001049377,0.0006958140002097934,1.86100005521439e-05,4.72210003863438e-05
Pilha (Array),2750,0.0005531070000870386,0.0010136369992324035,2.177599981223466e-05,4.8363000132667366e-05
Pilha (Array),2800,0.0003525590000208467,0.0007922610002424335,2.151100034097908e-05,4.38150000263704e-05
Pilha (Array),2850,0.0003239519992348505,0.0007360979998338735,1.816300027712714e-05,4.447700030141277e-05
Pilha (Array),2900,0.0003256600002714549,0.0008613279997007339,3.455499972915277e-05,6.237600064196158e-05
Pilha (Array),2950,0.0004158950005148654,0.0008479030002490617,2.8793000637961086e-05,5.7204999393434264e-05
Pilha (Array),3000,0.0006705300002067816,0.0012455060004867846,0.00025154099967039656,9.544800013827626e-05
Pilha (Array),3050,0.0003896989992426825,0.0012618390001080115,8.802399952401174e-05,7.332699988182867e-05
Pilha (Array),3100,0.0004559520002658246,0.0008598229997005546,3.9120000110415276e-05,5.10239997311146e-05
Pilha (Array),3150,0.0003774229999180534,0.001034130999869376,2.7842999770655297e-05,5.07140002810047e-05
Pilha (Array),3200,0.0005263009998088819,0.000895364999450976,6.145899988041492e-05,6.46779999442515e-05
Pilha (Array),3250,0.0004749829995489563,0.0008552740000595804,2.757700076472247e-05,5.582100038736826e-05
Pilha (Array),3300,0.0006451529998230399,0.001585633999638958,0.00023320099990087328,0.00011176699990755878
Pilha (Array),3350,0.00042011299956357107,0.0009643169996707002,3.392000053281663e-05,5.817900000693044e-05
Pilha (Array),3400,0.00048436300039611524,0.0009301160007453291,3.309700059617171e-05,5.3716999900643714e-05
Pilha (Array),3450,0.0004255699996065232,0.0009124919997702818,2.7019999834010378e-05,5.559799956245115e-05
Pilha (Array),3500,0.00046386299982259516,0.0009617179994165781,3.3029000405804254e-05,5.9269000303174835e-05
Pilha (Array),3550,0.000542198999937682,0.0010098829998241854,6.337500053632539e-05,6.368100002873689e-05
Pilha (Array),3600,0.0005871189996469184,0.00146474000030139,0.00016705800044292118,0.00013860900071449578
Pilha (Array),3650,0.0004989930002921028,0.0010246470001220587,4.7344000449811574e-05,7.237699992401758e-05
Pilha (Array),3700,0.0006879259999550413,0.0010653190001903567,3.4811000659829006e-05,6.597999981750036e-05
Pilha (Array),3750,0.0005016869999963092,0.0010259369992127176,3.500799994071713e-05,6.403699990187306e-05
Pilha (Array),3800,0.0005968629993731156,0.001551100000142469,0.00020374999985506292,0.00012526399950729683
Pilha (Array),3850,0.0005472289994941093,0.0012563459995362791,0.0002297589999216143,0.00016945000061241444
Pilha (Array),3900,0.0006851660000393167,0.001158953000413021,0.00010792200009746011,6.985800064285286e-05
Pilha (Array),3950,0.0005394620002334705,0.001155914999799279,3.441700027906336e-05,6.88499994794256e-05
Pilha (Array),4000,0.000522169999385369,0.0011208199994143797,3.743800061783986e-05,7.008099964878056e-05
Pilha (Array),4050,0.0005374800002755364,0.0013089209996905993,5.819099988002563e-05,9.131000024353852e-05
Pilha (Array),4100,0.0006865789991934435,0.002278547000059916,0.0002397050002400647,0.00010758900043583708
Pilha (Array),4150,0.0005174210000404855,0.0012375080004858319,0.00010789600037242053,8.205100039049285e-05
Pilha (Array),4200,0.0005356769997888478,0.0011738809998860233,3.264800034230575e-05,6.750200009264518e-05
Pilha (Array),4250,0.000559557000087807,0.0011877350007125642,5.6337999922106974e-05,7.107300007191952e-05
Pilha (Array),4300,0.0005491049996635411,0.0014668699996036594,0.00010602399925119244,0.00010843700056284433
Pilha (Array),4350,0.0005817599994770717,0.0016373879998354823,0.00016817300002003321,0.00018985099995916244
Pilha (Array),4400,0.0006977149996600929,0.0012495330001911498,5.0332999308011495e-05,7.805899986124132e-05
Pilha (Array),4450,0.0005664679993060417,0.001273976000447874,3.812500017374987e-05,7.203800032584695e-05
Pilha (Array),4500,0.0005858240001543891,0.001305204999880516,0.00013446699995256495,0.0002247100001113722
Pilha (Array),4550,0.0006087969995860476,0.0015773869999975432,0.00018869100040319609,0.00021258600008877693
Pilha (Array),4600,0.0009353850000479724,0.0013319390000106068,8.400699971389258e-05,9.189199954562355e-05
Pilha (Array),4650,0.0005861600002390333,0.0013500770000973716,3.9976000152819324e-05,8.006500047486043e-05
Pilha (Array),4700,0.0006157750003694673,0.0014109319999988656,4.674299998441711e-05,8.16609999674256e-05
Pilha (Array),4750,0.0009597600001143292,0.001870084000074712,0.00024221199964813422,0.00017476099947089097
Pilha (Array),4800,0.0006273990002227947,0.0014663629999631667,0.00011945799997192807,0.00015820699991309084
Pilha (Array),4850,0.0006298530006461078,0.0014241859998946893,6.527700043079676e-05,8.453899954474764e-05
Pilha (Array),4900,0.000601680000727356,0.0012943850006195134,5.710799996450078e-05,8.12700000096811e-05
Pilha (Array),4950,0.0005989340006635757,0.0018407229999866104,5.340799998521106e-05,9.084700013772817e-05
Pilha (Array),5000,0.0007587899999634828,0.0018064050000248244,0.00018346500019106315,0.00020575900089170318
Pilha (LinkedList),0,1.889000486698933e-06,6.829995982116088e-07,1.5071000234456733e-05,9.5369996415684e-06
Pilha (LinkedList),50,0.00010696600020310143,3.601700063882163e-05,6.954299988137791e-05,2.9570999686256982e-05
Pilha (LinkedList),100,6.25100001343526e-05,3.276900042692432e-05,0.00012334900020505302,6.155099981697276e-05
Pilha (LinkedList),150,8.256599994638236e-05,7.157399977586465e-05,0.0003811149999819463,0.00010295599986420712
Pilha (LinkedList),200,0.00014524800008075545,7.161200028349413e-05,0.0003325890002088272,0.00012453699946490815
Pilha (LinkedList),250,0.00017963200025405968,8.187100047507556e-05,0.00037920300019322895,0.00015717200039944146
Pilha (LinkedList),300,0.0002068029998554266,0.0001108050000766525,0.0004071079993082094,0.00018676299987419043
Pilha (LinkedList),350,0.0002413850006632856,0.00013380800010054372,0.00047287699999287724,0.0002226310007245047
Pilha (LinkedList),400,0.00022245999934966676,0.0001802910001060809,0.0017406470005880692,0.00045029800003248965
Pilha (LinkedList),450,0.00046513100005540764,0.00019083000006503426,0.0008389499998884276,0.0003356080005687545
Pilha (LinkedList),500,0.0004743290000988054,0.00029896999967604643,0.0007854649993532803,0.0003236900001866161
Pilha (LinkedList),550,0.00036604700017051073,0.00019434100067883264,0.0007749920005153399,0.0003608230008467217
Pilha (LinkedList),600,0.0003299909994893824,0.0002111670000886079,0.000822043999505695,0.0003882589999193442
Pilha (LinkedList),650,0.00035867000042344444,0.00022263799928623484,0.0009088949991564732,0.00042351899992354447
Pilha (LinkedList),700,0.0005074070004411624,0.00032386799921368947,0.0010091429994645296,0.0006555070003742003
Pilha (LinkedList),750,0.000540834000275936,0.0002730509995672037,0.0015116699996724492,0.0004893679997621803
Pilha (LinkedList),800,0.0005594679996647756,0.0002790890002870583,0.0014719410000907374,0.000525667000147223
Pilha (LinkedList),850,0.0005588670001088758,0.0003022320006493828,0.001016053999592259,0.0006143149994386476
Pilha (LinkedList),900,0.0005769919998783735,0.0004814390003957669,0.0017287789996771608,0.0006051929995010141
Pilha (LinkedList),950,0.0009073250002984423,0.00034225500075990567,0.0013786209992758813,0.0006289550001383759
Pilha (LinkedList),1000,0.0009189980000883224,0.00035776900040218607,0.07031562300016958,0.0009041769999384996
Pilha (LinkedList),1050,0.001021518999550608,0.0004904429997623083,0.001727904999825114,0.0008102410001811222
Pilha (LinkedList),1100,0.0008238419995905133,0.0004733460000352352,0.0016038839994507725,0.0007693879997532349
